product_id,product_length,product_depth,product_width,cluster_id,hierarchy1_id,hierarchy2_id,hierarchy3_id,hierarchy4_id,hierarchy5_id
P0001,13.50,22.00,20.00,cluster_5,H01,H0105,H010501,H01050100,H0105010006
P0002,22.00,40.00,22.00,cluster_0,H03,H0315,H031508,H03150800,H0315080028
P0004,2.00,13.00,4.00,cluster_3,H03,H0314,H031405,H03140500,H0314050003
P0005,16.00,30.00,16.00,cluster_9,H03,H0312,H031211,H03121109,H0312110917
P0006,8.50,15.00,15.00,cluster_0,H03,H0316,H031608,H03160817,H0316081708
P0007,2.00,22.00,9.50,cluster_4,H03,H0313,H031305,H03130519,H0313051904
P0008,5.00,16.00,5.00,cluster_0,H00,H0000,H000004,H00000400,H0000040017
P0009,5.00,18.00,14.00,cluster_6,H00,H0002,H000201,H00020100,H0002010012
P0010,2.00,22.00,3.00,cluster_0,H01,H0108,H010801,H01080109,H0108010917
P0011,9.00,22.00,15.00,cluster_0,H03,H0315,H031506,H03150612,H0315061202
P0012,10.00,20.00,12.30,cluster_0,H01,H0107,H010702,H01070210,H0107021001
P0014,32.50,6.00,33.00,cluster_0,H03,H0313,H031302,H03130205,H0313020501
P0015,10.00,33.00,10.00,cluster_1,H00,H0000,H000003,H00000309,H0000030901
P0016,2.00,18.00,8.00,cluster_0,H00,H0004,H000401,H00040105,H0004010512
P0017,8.00,28.00,8.00,cluster_6,H00,H0000,H000003,H00000310,H0000031001
P0018,1.00,14.00,11.00,cluster_4,H00,H0003,H000316,H00031609,H0003160922
P0019,1.50,42.00,32.00,cluster_0,H03,H0312,H031201,H03120100,H0312010004
P0020,5.00,28.00,16.00,cluster_0,H03,H0311,H031109,H03110901,H0311090101
P0021,8.00,26.00,23.00,cluster_0,H03,H0313,H031302,H03130210,H0313021002
P0022,5.70,18.60,10.10,cluster_0,H01,H0108,H010809,H01080900,H0108090012
P0024,1.00,23.00,16.00,cluster_0,H03,H0314,H031404,H03140407,H0314040701
P0025,33.00,6.00,20.00,cluster_0,H03,H0312,H031207,H03120710,H0312071003
P0026,4.00,22.00,16.00,cluster_6,H00,H0002,H000201,H00020105,H0002010522
P0027,5.00,28.00,16.00,cluster_0,H03,H0311,H031108,H03110805,H0311080502
P0028,3.40,11.30,12.00,cluster_0,H03,H0313,H031302,H03130210,H0313021001
P0029,2.50,18.00,8.00,cluster_0,H03,H0315,H031504,H03150411,H0315041131
P0030,9.00,9.00,37.00,cluster_0,H03,H0312,H031205,H03120508,H0312050800
P0032,5.00,12.00,4.00,cluster_0,H03,H0312,H031207,H03120710,H0312071025
P0033,5.00,28.00,16.00,cluster_0,H03,H0311,H031109,H03110900,H0311090001
P0035,3.00,17.00,12.50,cluster_7,H00,H0003,H000311,H00031100,H0003110017
P0036,6.00,20.00,10.00,cluster_9,H00,H0004,H000401,H00040105,H0004010539
P0037,3.50,10.50,3.50,cluster_0,H01,H0108,H010809,H01080913,H0108091301
P0038,5.00,21.50,5.00,cluster_0,H01,H0108,H010805,H01080500,H0108050033
P0039,11.50,28.00,27.00,cluster_9,H01,H0105,H010501,H01050100,H0105010012
P0041,5.00,28.00,16.00,cluster_6,H03,H0311,H031109,H03110900,H0311090001
P0042,1.00,16.00,10.00,cluster_0,H01,H0108,H010811,H01081100,H0108110043
P0043,3.50,23.00,32.00,cluster_0,H03,H0317,H031702,H03170212,H0317021212
P0044,1.00,10.00,5.00,cluster_0,H03,H0315,H031504,H03150411,H0315041121
P0045,3.00,17.00,12.50,cluster_3,H00,H0003,H000311,H00031100,H0003110012
P0046,1.70,11.10,9.60,cluster_0,H01,H0108,H010809,H01080900,H0108090006
P0047,5.00,28.00,16.00,cluster_0,H03,H0311,H031109,H03110900,H0311090002
P0048,29.30,14.70,19.80,cluster_0,H01,H0107,H010702,H01070212,H0107021201
P0049,2.00,40.00,10.00,cluster_0,H03,H0313,H031305,H03130518,H0313051829
P0050,6.90,6.00,6.90,cluster_9,H01,H0108,H010808,H01080815,H0108081512
P0051,1.70,17.50,4.50,cluster_7,H00,H0003,H000314,H00031409,H0003140912
P0053,5.00,40.00,40.00,cluster_3,H03,H0311,H031101,H03110101,H0311010124
P0054,8.50,14.60,8.50,cluster_9,H00,H0002,H000201,H00020110,H0002011001
P0055,2.30,18.50,13.50,cluster_0,H00,H0003,H000311,H00031109,H0003110906
P0057,4.00,22.00,9.00,cluster_0,H01,H0108,H010807,H01080709,H0108070901
P0058,3.00,21.00,8.00,cluster_0,H00,H0004,H000401,H00040100,H0004010017
P0059,9.10,29.70,13.20,cluster_0,H01,H0105,H010501,H01050105,H0105010506
P0060,7.50,20.50,5.40,cluster_0,H01,H0106,H010600,H01060013,H0106001333
P0061,9.30,32.00,19.20,cluster_9,H01,H0105,H010501,H01050114,H0105011401
P0063,7.50,7.50,7.50,cluster_9,H03,H0312,H031201,H03120100,H0312010012
P0064,7.00,10.00,7.00,cluster_0,H00,H0004,H000401,H00040105,H0004010517
P0065,8.50,33.00,32.00,cluster_0,H03,H0313,H031302,H03130209,H0313020905
P0066,0.30,15.50,8.50,cluster_0,H03,H0313,H031305,H03130515,H0313051502
P0067,5.40,20.50,7.50,cluster_4,H01,H0106,H010600,H01060013,H0106001333
P0068,13.00,9.00,13.00,cluster_8,H00,H0000,H000003,H00000300,H0000030001
P0069,3.00,12.00,8.50,cluster_0,H03,H0312,H031201,H03120101,H0312010130
P0070,8.70,14.00,8.70,cluster_0,H00,H0002,H000201,H00020100,H0002010001
P0071,4.90,16.50,6.50,cluster_0,H01,H0108,H010807,H01080700,H0108070022
P0072,3.00,12.00,12.00,cluster_0,H03,H0314,H031402,H03140200,H0314020001
P0073,2.00,30.00,30.00,cluster_5,H03,H0312,H031204,H03120400,H0312040006
P0075,6.00,26.70,26.00,cluster_0,H03,H0313,H031302,H03130200,H0313020001
P0076,2.00,10.00,2.00,cluster_0,H03,H0313,H031309,H03130900,H0313090044
P0077,3.00,23.50,17.00,cluster_0,H03,H0311,H031110,H03111000,H0311100003
P0078,7.50,11.50,7.50,cluster_2,H00,H0003,H000312,H00031205,H0003120501
P0079,2.00,13.00,6.00,cluster_5,H00,H0003,H000316,H00031600,H0003160001
P0080,2.00,24.00,2.00,cluster_0,H03,H0312,H031204,H03120400,H0312040003
P0082,3.40,17.60,8.10,cluster_0,H01,H0108,H010803,H01080311,H0108031101
P0083,2.20,7.70,10.60,cluster_6,H00,H0002,H000201,H00020109,H0002010901
P0084,4.00,14.00,12.00,cluster_0,H03,H0313,H031302,H03130209,H0313020901
P0085,12.00,26.00,11.00,cluster_0,H03,H0312,H031207,H03120710,H0312071015
P0087,2.00,5.70,19.00,cluster_4,H00,H0003,H000312,H00031200,H0003120002
P0088,18.00,24.00,8.00,cluster_9,H00,H0002,H000200,H00020009,H0002000926
P0089,2.00,15.00,8.00,cluster_0,H03,H0315,H031512,H03151215,H0315121500
P0090,1.00,5.00,6.00,cluster_0,H03,H0312,H031211,H03121109,H0312110917
P0091,2.00,27.00,21.00,cluster_0,H03,H0313,H031307,H03130700,H0313070019
P0092,6.00,15.00,8.00,cluster_6,H00,H0001,H000102,H00010210,H0001021022
P0093,7.00,18.00,7.00,cluster_0,H00,H0001,H000101,H00010105,H0001010512
P0094,3.80,14.30,3.80,cluster_0,H01,H0108,H010807,H01080700,H0108070032
P0095,40.00,100.00,50.00,cluster_6,H03,H0314,H031401,H03140100,H0314010006
P0096,3.40,14.50,4.40,cluster_0,H01,H0108,H010811,H01081100,H0108110038
P0097,1.00,19.20,9.00,cluster_4,H00,H0003,H000315,H00031501,H0003150102
P0098,4.00,16.00,12.50,cluster_0,H03,H0313,H031302,H03130215,H0313021507
P0099,3.00,11.30,10.00,cluster_0,H03,H0313,H031302,H03130210,H0313021001
P0100,2.00,27.00,21.00,cluster_0,H03,H0313,H031307,H03130700,H0313070009
P0101,4.50,17.60,4.50,cluster_0,H01,H0108,H010805,H01080500,H0108050033
P0102,7.00,27.00,40.00,cluster_0,H03,H0313,H031302,H03130200,H0313020001
P0103,9.00,30.00,9.00,cluster_0,H00,H0000,H000003,H00000300,H0000030001
P0104,3.00,20.00,11.00,cluster_0,H03,H0311,H031111,H03111101,H0311110124
P0105,11.00,13.00,16.00,cluster_0,H03,H0312,H031206,H03120610,H0312061042
